kategori,keluhan,urgensi
KEMAHASISWAAN,gaada mentor atau pembimbing untuk mhs baru di himpunan,RENDAH
LAINNYA,"lapangan voli gaada penerangan malam, gabisa dimanfaatkan optimal",SEDANG
LAINNYA,"lapangan futsal tidak terawat, mhs gabisa olahraga gratis",TINGGI
LAINNYA,"keamanan lingkungan sekitar kampus gaada satpam, tidak kondusif malam hari",RENDAH
KEMAHASISWAAN,"sosialisasi hak dan kewajiban mhs gaada pengumuman resmi, banyak yang terlewat informasinya",RENDAH
KEMAHASISWAAN,"sosialisasi hak dan kewajiban mhs tidak merata, banyak yang ketinggalan",RENDAH
JARINGAN_IT,"internet di prodi matematika lemot parah, gabisa kumpul tugas online",SEDANG
AKADEMIK,"siakad gabisa diakses saat jam kls, mhs rugi bgt",RENDAH
KEUANGAN,"prosedur pengajuan keringanan ukt bgt rumit, menghambat akademik",TINGGI
FASILITAS,"wc fakultas ekonomi airnya tidak mengalir sudah lama bgt, harus nahan lama bgt",RENDAH
JARINGAN_IT,"sinyal seluler di perpus bgt lemah, harus keluar dulu baru bisa internetan",RENDAH
FASILITAS,"kebersihan gedung a lantai 2 gaada petugas kebersihan, bisa jadi sumber penyakit",RENDAH
JARINGAN_IT,wifi kampus bapuk ga stabil apalagi kalau banyak yang konek,RENDAH
KEUANGAN,"pengumuman perubahan biaya mendadak bgt, mhs jadi bingung",SEDANG
AKADEMIK,"jadwal kls informasinya tidak jelas, mhs jadi bingung",SEDANG
KEUANGAN,"pengumuman perubahan biaya tidak diinformasikan dengan jelas, mhs yang urgent jadi kesusahan",RENDAH
AKADEMIK,"website sistem krs ui-nya outdated bgt, nilai terancam",TINGGI
KEMAHASISWAAN,"staff layanan administrasi mhs tidak membantu sama sekali, mhs jadi tidak nyaman",RENDAH
AKADEMIK,"spada loadingnya lama bgt, susah akses materi kls",RENDAH
JARINGAN_IT,"wifi gedung a lantai 2 sering disconnect, susah download materi kls",TINGGI
AKADEMIK,"krs sering eror, mhs dirugikan",TINGGI
KEMAHASISWAAN,"kegiatan program mentoring informasinya tidak merata, proses administrasi terhambat",RENDAH
AKADEMIK,"revisi skripsi responnya lama bgt, mhs dirugikan",TINGGI
JARINGAN_IT,"hotspot kampus lemot parah, terpaksa habiskan kuota sendiri",SEDANG
FASILITAS,"kamar mandi gedung b lantai 2 ancur total, tidak nyaman sama sekali apalagi kalau kebelet",TINGGI
AKADEMIK,"sistem portal mhs ui-nya terlalu ribet, proses akademik terhambat",RENDAH
KEMAHASISWAAN,bem kurang aktif menyuarakan aspirasi mhs soal program beasiswa,TINGGI
KEUANGAN,"prosedur pengajuan keringanan ukt tidak transparan, prosesnya bgt lama",TINGGI
FASILITAS,"kursi di aula gedung c kayunya sudah lapuk, susah nulis waktu kls",RENDAH
LAINNYA,"kantin dekat gedung fisip harganya mahal, gaada pilihan sehat",RENDAH
AKADEMIK,"bahan ajar susah dicari, capek bgt dikelas",RENDAH
JARINGAN_IT,"wifi gedung c gabisa dipakai, susah download materi kls",TINGGI
AKADEMIK,"spada sering eror, susah download bahan ajar",TINGGI
LAINNYA,"gerbang gerbang 3 gaada satpam, tidak aman soalnya siapa saja bisa masuk",RENDAH
KEUANGAN,ada pungutan di luar ketentuan yang tidak semestinya,RENDAH
FASILITAS,"banyak kursi di lab komputer yang sudah tidak layak pakai, gabisa fokus",RENDAH
KEUANGAN,"ukt prosedur keringanan susah, tapi ac-nya ancur semua",TINGGI
AKADEMIK,"dosen jarang masuk, mhs rugi bgt",RENDAH
LAINNYA,"area koridor antar gedung gaada tempat duduk, tidak nyaman buat mhs",RENDAH
FASILITAS,"min semua gedung punya wc bahkan tiap lantai.....,tapi cuma 1 wc yg bisa dipakai.....cuma wc di gedung a lantai 1 itupun cuma satu bilik yang bagus, bahkan kunci pintunya ancur, airnya kadang ngga nyala, lampunya redup. wc yang lain cuma pajangan karna airnya tidak mengalir pokoknya ancur gabisa digunakan, tidak layak pakai.....kan capek tuh kalo ada matkul dilantai 3 gedung b tapi kalo kebelet harus jauh jauh ke gedung a lantai 1 padahal setiap lantai ada wc tapi tidak berguna. kursi tiap kelas juga kadang kurang, ada yg ancur, ac nya dibeberapa ruangan kadang tidak berfungsi dengan baik, terkadang kalo mau pakai lcd harus matikan ac dulu sekian",SEDANG
FASILITAS,"ac di gedung c berisik bgt, jadi mhs tidak konsen belajar",RENDAH
FASILITAS,"wc perpus pusat airnya tidak mengalir sudah seminggu lebih, terpaksa ke gedung lain yang jauh",RENDAH
AKADEMIK,"jadwal syarat wisuda tidak sampai ke semua mhs, banyak mhs yang tidak tahu",TINGGI
AKADEMIK,"nilai ada yang salah input, mhs jadi bingung",SEDANG
JARINGAN_IT,"sinyal di gedung a lantai 3 hilang timbul, gabisa akses internet sama sekali",RENDAH
AKADEMIK,"sistem sistem krs ui-nya susah dinavigasi, proses akademik terhambat",TINGGI
KEMAHASISWAAN,"kegiatan seminar mhs informasinya tidak merata, proses administrasi terhambat",RENDAH
FASILITAS,"lab kimia panas bgt soalnya netes airnya, mhs jadi malas masuk kls",RENDAH
