category,text,urgency
LAINNYA,"area ruang tunggu panas tidak teduh, tidak nyaman buat mhs",RENDAH
KEUANGAN,"prosedur pembayaran ukt memakan waktu lama, mhs urgent kesusahan",TINGGI
KEUANGAN,"informasi beasiswa hanya untuk yang punya koneksi, prosesnya tidak adil",TINGGI
KEUANGAN,"prosedur pengajuan keringanan ukt tidak jelas alurnya, menghambat proses akademik",TINGGI
JARINGAN_IT,wifi di gedung b lantai 1 kayak tidak dibayar apalagi siang hari,RENDAH
LAINNYA,"lapangan badminton ancur, lapangan gabisa dimanfaatkan optimal",SEDANG
KEMAHASISWAAN,"pengurusan surat keterangan aktif makan waktu lebih dari 2 minggu, bgt tidak efisien",RENDAH
FASILITAS,"kebersihan gedung a lantai 2 sampahnya menumpuk, baunya tidak enak",RENDAH
JARINGAN_IT,spada sering eror saat masa uts/uas,KRITIS
AKADEMIK,"revisi skripsi bimbingannya tidak terjadwal, proses akademik jadi terlelet",TINGGI
FASILITAS,"parkiran prodi akuntansi banyak yang parkir sembarangan, susah keluar masuk",RENDAH
LAINNYA,"area koridor antar gedung gaada fasilitas pendukung, kurang nyaman buat mhs",RENDAH
KEUANGAN,"pengumuman perubahan biaya tidak sampai ke semua mhs, mhs jadi bingung",SEDANG
KEMAHASISWAAN,"sosialisasi prosedur dokumen tidak merata, banyak yang ketinggalan",RENDAH
KEUANGAN,"penggunaan dana kkn tidak transparan, mhs tidak tahu kemana uangnya",RENDAH
FASILITAS,"plafon ruangan 3.2 bocor saat hujan, khawatir bisa kena mhs",RENDAH
LAINNYA,gerbang pintu masuk utama jarang dibuka sehingga antrean panjang,SEDANG
LAINNYA,"jalan di belakang rektorat sempit bgt, bisa bikin kecelakaan",KRITIS
FASILITAS,"banyak kursi di gedung fisip yang sudah tidak layak pakai, gabisa fokus",RENDAH
JARINGAN_IT,koneksi di gedung fh putus-putus saat masa uas,TINGGI
FASILITAS,"kursi di gedung mipa udah lama sudah tidak layak pakai, kapan diganti?",RENDAH
AKADEMIK,"ruang kls tidak kondusif, mhs jadi malas",RENDAH
AKADEMIK,"informasi informasi kkn tidak diinformasikan dengan jelas, banyak yang ketinggalan informasi",RENDAH
KEUANGAN,"transparansi distribusi beasiswa kurang, mhs tidak tahu bagaimana seleksinya",TINGGI
FASILITAS,"gaada ruang istirahat di gedung mipa, padahal bgt dibutuhkan",RENDAH
KEUANGAN,"pengumuman perubahan biaya hanya dari mulut ke mulut, mhs jadi bingung",SEDANG
KEMAHASISWAAN,"staff hima kurang ramah, mhs jadi tidak nyaman",RENDAH
AKADEMIK,"informasi informasi kkn mendadak, proses akademik jadi terlelet",SEDANG
FASILITAS,"min, parkiran prodi informatika sempit bgt tolong diatur lebih baik",SEDANG
LAINNYA,"lapangan futsal gaada penerangan malam, gabisa dimanfaatkan optimal",TINGGI
JARINGAN_IT,"server sistem informasi kampus bapuk ga stabil pas deadline tugas, kls online terganggu",KRITIS
KEUANGAN,"transparansi penggunaan dana ukt kurang, mhs tidak tahu siapa yang berhak",TINGGI
JARINGAN_IT,"server sistem informasi kampus bapuk ga stabil pas masa uts, kls online terganggu",KRITIS
AKADEMIK,"revisi skripsi responnya lama bgt, mhs dirugikan",TINGGI
JARINGAN_IT,server sistem informasi kampus bapuk ga stabil waktu masa uts,KRITIS
FASILITAS,"kebersihan fakultas teknik jarang dibersihkan, tidak nyaman berada di sini",RENDAH
AKADEMIK,"informasi prosedur skripsi mendadak, proses akademik jadi terlelet",TINGGI
JARINGAN_IT,"jaringan di fakultas teknik bapuk ga stabil, susah akses internet",RENDAH
FASILITAS,"lab matematika kondisinya tidak terawat, gabisa praktik dengan benar",SEDANG
LAINNYA,"kebersihan area kampus bgt kotor, baunya tidak enak",SEDANG
AKADEMIK,"spada gabisa diakses saat saat uas, proses akademik terhambat",KRITIS
KEMAHASISWAAN,"fasilitas ruang rapat mhs terlalu kecil, proses administrasi terhambat",RENDAH
KEMAHASISWAAN,"senioritas di unit kemhsan masih membuat tidak nyaman, mhs baru jadi tertekan",RENDAH
JARINGAN_IT,server spada gabisa diakses waktu masa uts,KRITIS
FASILITAS,"kursi di ruangan 3.1 kayunya sudah lapuk, susah nulis waktu kls",RENDAH
FASILITAS,"banyak kursi di fakultas hukum yang gaada mejanya, mhs jadi malas masuk kls",RENDAH
AKADEMIK,"spada eror terus waktu jam kls, susah download bahan ajar",TINGGI
FASILITAS,"tolong ac fakultas hukum segera diperbaiki, cuma pajangan dan gerah minta ampun",RENDAH
KEMAHASISWAAN,"informasi lowongan magang mendadak, mhs banyak yang tidak tahu",RENDAH
FASILITAS,"gedung fh panas bgt soalnya cuma pajangan, capek bgt dikelas",RENDAH
KEUANGAN,"informasi beasiswa tidak disosialisasikan dengan baik, mhs kurang mampu jadi dirugikan",TINGGI
JARINGAN_IT,upload tugas di spada gagal terus soalnya internet gedung b lantai 3 lemot parah,SEDANG
JARINGAN_IT,internet di gedung a lantai 2 gabisa diandalkan padahal butuh buat kumpul tugas,RENDAH
LAINNYA,"kebersihan koridor gedung kumuh, mencerminkan citra kampus yang buruk",RENDAH
AKADEMIK,"siakad gabisa diakses saat pengumuman nilai, nilai terancam",TINGGI
FASILITAS,"prodi matematika panas bgt soalnya mati total, nilai bisa jelek soalnya tidak konsen",TINGGI
KEUANGAN,ukt sudah mahal tapi ac-nya ancur semua,TINGGI
KEMAHASISWAAN,"1. minimnya minat berorganisasi mhs di era modern ini, yang memicu kurangnya mengalisis masalah internal maupun eksternal kampus(mendiamkan masalah), sehingga menimbulkan kejanggalan dan masalah yang bermacam-macam sering terjadi di lingkungan eksternal maupun internal kampus.",TINGGI
KEUANGAN,"pengumuman syarat keringanan ukt tidak sampai ke semua mhs, mhs kaget",TINGGI
LAINNYA,"jalan di dekat auditorium bergelombang, banjir waktu hujan",RENDAH
AKADEMIK,"krs matkul yang tersedia tidak sesuai kurikulum, mhs dirugikan",TINGGI
KEUANGAN,"seleksi beasiswa tidak transparan, mhs layak tidak dapat",TINGGI
JARINGAN_IT,server sistem informasi kampus lelet bgt waktu masa uts,KRITIS
FASILITAS,"saklar di gedung a lantai 3 sering turun, jadi kls terganggu",RENDAH
KEMAHASISWAAN,"kegiatan kegiatan ukm informasinya tidak merata, mhs jadi tidak antusias",RENDAH
JARINGAN_IT,spada uho ngelag dan sistemnya terlalu ribet padahal hanya mengumpulkan tugas,RENDAH
FASILITAS,"kursi di fakultas teknik udah lama rodanya hilang, kapan diganti?",RENDAH
LAINNYA,"gerbang gerbang 2 pintunya ancur, sering terlelet kls",SEDANG
LAINNYA,"lingkungan sekitar prodi akuntansi kurang terawat, panas bgt siang hari",RENDAH
AKADEMIK,"dosen pilih kasih dalam penilaian, mhs dirugikan",RENDAH
JARINGAN_IT,"jangkauan wifi fakultas ekonomi tidak luas, terpaksa pakai kuota sendiri",TINGGI
LAINNYA,"transportasi gaada shuttle bus kampus, mhs kesulitan mobilitas",RENDAH
AKADEMIK,"sistem sistem krs membingungkan, tugas jadi terlelet",TINGGI
KEMAHASISWAAN,"kegiatan lomba antar prodi waktunya tidak pas, mhs jadi tidak antusias",RENDAH
AKADEMIK,web akademik sering gabisa diakses waktu masa krs,TINGGI
FASILITAS,"min, parkiran gedung b lantai 1 tidak teratur tolong diatur lebih baik",RENDAH
AKADEMIK,"spada gabisa diakses saat deadline tugas, belajar jadi terganggu",KRITIS
LAINNYA,"keamanan area kampus malam hari cctv-nya tidak berfungsi, tidak kondusif untuk kegiatan malam",RENDAH
KEUANGAN,"dosen mewajibkan beli buku tertentu, kalau tidak beli nilai bisa jelek",RENDAH
LAINNYA,"lapangan bola gaada penerangan malam, gabisa dimanfaatkan optimal",SEDANG
FASILITAS,"gaada kantin di gedung b lantai 1, padahal bgt dibutuhkan",RENDAH
FASILITAS,"saklar di prodi informatika sering turun, jadi kls terganggu",SEDANG
KEMAHASISWAAN,"organisasi kurang dukungan dari kampus, gaada wadah aspirasi mhs",RENDAH
FASILITAS,"pintu wc fakultas hukum gabisa dikunci, bgt tidak nyaman",RENDAH
JARINGAN_IT,upload tugas di spada gagal terus soalnya internet gedung fisip nge-lag,RENDAH
JARINGAN_IT,"jangkauan wifi auditorium terbatas bgt, susah download materi kls",TINGGI
AKADEMIK,"nilai tidak sesuai ekspektasi tanpa penjelasan, stress bgt ngurusnya",RENDAH
KEMAHASISWAAN,"layanan hima responnya lelet, proses administrasi terhambat",SEDANG
