text,category,urgency
Semoga bisa lebih baik lagi dari sebelumnya,LAINNYA,RENDAH
Memberikan informasi dan mempermudah proses mahasiswa yang akan membawa nama kampus untuk berkiprah diluar kampus agar dapat meningkatkan kemampuannya dan nama baik kampus diluar daerah.,LAINNYA,RENDAH
"Untuk meningkatkan kinerja STIKOM Bali, harapan saya adalah memperluas kerjasama industri, meningkatkan program internasional, memperkaya inovasi kurikulum, serta memperkuat riset dan pengabdian masyarakat.",LAINNYA,TINGGI
Ditingkatkan lagi fasilitas nya,FASILITAS,RENDAH
semoga ditingkatkan,LAINNYA,RENDAH
"Semoga liftnya cepet di perbaiki, dan acnya di perbaiki juga karena acnya tidak dingin",FASILITAS,RENDAH
Mohon untuk digitalisasi poin SKKM sehigga tidak perlu lagi meminta TTD kesana kemari.,LAINNYA,RENDAH
semoga lebih ditingkatkan,LAINNYA,RENDAH
tingkatkan fasilitas kampus!,FASILITAS,RENDAH
Saya berharap agar kedepannya lebih baik agar meningkatkan nama kampus,LAINNYA,RENDAH
kembangkan apa bila dibagian informasi jika ada celah kekurangan,LAINNYA,SEDANG
Berkembang dan capai yang lebih tinggi,LAINNYA,RENDAH
Kualitas pendidikan agar lulusan stikom bisa menjadi pionir atau unggulan,LAINNYA,TINGGI
"Harapan untuk ITB STIKOM Bali adalah agar semakin memperkuat riset teknologi ramah lingkungan, mendukung Green Tourism melalui program pengabdian masyarakat, serta mengoptimalkan infrastruktur digital dengan smart campus systems. Langkah ini diharapkan memperkuat posisi STIKOM Bali sebagai pelopor inovasi teknologi berkelanjutan dan berkontribusi signifikan bagi lingkungan dan pendidikan di Indonesia",KEUANGAN,RENDAH
semoga kedepannya semakin maju lagi,LAINNYA,RENDAH
"fasilitas kantin lebih baik lagi, karena menurut saya kantin sekarang kurang layak karena kurangnya menu makanan berat.",FASILITAS,SEDANG
semoga tetap dijaga dan semangkin ditingkatkan kinerjanya,LAINNYA,RENDAH
agar para staf murah senyum saat melayani para mahasiswa/siswi nya,LAINNYA,RENDAH
"TOLONG KEGIATAN ESPORTS DI STIKOM DI PERBAIKI !! SANGAT KURANG!! KALAH SAMA KAMPUS&quot; LAIN, CONTOH NYA : INSTIKI,UNMAS,PNB,PRIMAKARA, DLL YANG DI BIDANG ESPORTS NYA DI SUPPORT BANGET OLEH KAMPUS",KEMAHASISWAAN,SEDANG
Semoga lebih bagus lagi untuk kinerjanya,LAINNYA,RENDAH
"Memberikan informasi secara lengkap, agar tidak membingungkan mahasiswa",LAINNYA,RENDAH
Semakin baik dan produktif dalam segala lini layanan,KEUANGAN,RENDAH
Harapanny agar semua fasilitas dapat digunakan oleh mahasiswa,FASILITAS,RENDAH
Harapan saya lebih meningkatkan kinerja,LAINNYA,RENDAH
Selalu meningkatkan kualitas pelayanan terhadap segala keluhan mahasiswa,LAINNYA,RENDAH
"tingkatkan yang sudah ada, dan perbarui yang kurang efektif",LAINNYA,SEDANG
Semoga harapan saya kedepannya menjadi lebih baik,LAINNYA,RENDAH
semoga stikom bali lebih baik kedepannya,LAINNYA,RENDAH
Semoga kedepanya menjadi lebih baik,LAINNYA,RENDAH
"meningkatkan fasilitas seperti jangkauan atau kecepatan wifi, ruang lab, kursi kelas, dll. bukan mempertahankan yang ada saja. karena kami para mahasiswa ingin mendapatkan fasilitas untuk mengerjakan tugas-tugas kuliah.",FASILITAS,RENDAH
Semoga lebih keren dan stikom smakin di depan,LAINNYA,RENDAH
pertahankan dan perluas fasilitas area parkir,FASILITAS,TINGGI
saya harap STIKOM BALI terus meningkatkan fasilitas Mahasiswa dengan baik dari segi akademik dan nonakademik,FASILITAS,RENDAH
Semua semakin di tingkatkan lagi,LAINNYA,RENDAH
Meningkatkan fasilitas terutama pada ruang kelas atau ruang pembelajaran (laboratorium),FASILITAS,RENDAH
memperbanyak perkuliahan praktek,AKADEMIK,RENDAH
harapan saya agak lebih baik dari sebelumnya dan lebih ditingkatkan kembali terimakasi,LAINNYA,RENDAH
harapan saya yaitu meningkatan kerjasama program magang dengan perusahaan ternama diBali dan kerja sama riset dengan institusi lain,LAINNYA,RENDAH
Lebih ditingkatkan lagi pelayanan,LAINNYA,RENDAH
"saya seorang mahasiswa yang sedang menempuh TA 1,saya berharap mahasiswa lebih mudah berdiskusi dengan dosen tanpa harus menunggu beberapa hari.",AKADEMIK,RENDAH
sudah sempurna sekali kak,LAINNYA,RENDAH
Menyediakan fasilitas wifi yang baik,FASILITAS,RENDAH
Dalam pengajar mungkin bisa lebih lengkap dan mudah dalam menjelaskan hingga tidak perlu lagi belajar diluar seperti youtube karna untuk apa bayar dan masih belajar lebih banyak diluar dan lebih mudah mengerti dibanding dirumah sendiri,LAINNYA,RENDAH
"harapan saya adalah agar dosen yang saya dapatkan di setiap matkul mau mengajar, bukan hanya sekedar tugas dan membuat ppt kelompok untuk setiap bab pembelajaran di RPS",AKADEMIK,RENDAH
"Memperbaiki semua yang memang harus di perbaiki, terutama lahan parkir dan basement saat hujan agar tidak banjir",FASILITAS,TINGGI
"semoga vasilitas kampus seperti kantin lebih di perluas,karena banyak mahasiswa yang susah mencari tempat untuk istirahat",LAINNYA,TINGGI
Semoga lebih baik kedepanya,LAINNYA,RENDAH
Bisa berkontribusi untuk stikom bali,LAINNYA,RENDAH
perbaiki fasilitas umum di kampus seperti lobby dan toilet,FASILITAS,RENDAH
menjadi lebih baik lagi,LAINNYA,RENDAH
"Informasi mengenai perkuliahan agar termpampang jelas di sion (semua program perkuliahaan yang mungkin tidak umum), perbaiki cara perekrutan dosen (karena tidak semua dosen bisa mengajar mahasiswa dengan baik/tidak bisa ngajar) meskipun mereka pintar dan berwawasan tinggi.",AKADEMIK,RENDAH
harapan lebih baik lagi dalam melayani mahasiswa,LAINNYA,RENDAH
saya berharap sarana dan prasarana di stikom bali semakin ditingkatkan kedepannya,LAINNYA,RENDAH
Seluruh online class dapat terlaksana secara interaktif,LAINNYA,RENDAH
semoga kantin diperluas.,LAINNYA,TINGGI
Menyediakan fasilitas wifi,FASILITAS,RENDAH
lebih santai dalam berdiskusi dengan mahasiswa,LAINNYA,RENDAH
"Menurut saya, harapan untuk meningkatkan kinerja STIKOM Bali adalah dengan memperkuat kolaborasi dengan industri teknologi, meningkatkan kualitas fasilitas dan sumber daya pembelajaran, serta memperluas program internasional untuk membuka peluang global bagi mahasiswa.",FASILITAS,TINGGI
untuk beberapa dosen semoga bisa lebih profesional dalam menjalankan tugas dan berempati bagi mahasiswa kelas bisnis,AKADEMIK,RENDAH
menambah program-program dan seminar-seminar gratis,LAINNYA,RENDAH
mungkin untuk kuliah yang menjurus ke keahlian mahasiswa lebih diperbanyak prakteknya,AKADEMIK,RENDAH
Semoga Stikom kedepannya semakin jaya,LAINNYA,RENDAH
MENINGKATKAN SEMUA FAKTOR AGAR MENJADI UNIVERSITAS STIKOM BALI,LAINNYA,RENDAH
"dengan cara meningkatkan relasi ke kampus lain, kalau bisa tunjukan ke dunia bahwa STIKOM Bali itu ikut berpatisipasi dan andil dalam perkembangan dunia",LAINNYA,RENDAH
harapan saya supaya kantin stikom jimbaran semakin banyak varian makanan yang enak enak,LAINNYA,RENDAH
semoga bisa lebih baik untuk kedepannya,LAINNYA,RENDAH
menjadi lebih baik untuk kedepanya,LAINNYA,RENDAH
Melakukan perawatan dan pengecekan rutin terhadap kabel VGA yang ada untuk memastikan bahwa semua kabel berfungsi dengan baik dan tidak ada yang rusak. Kabel yang rusak dapat menyebabkan gangguan selama proses belajar mengajar.,AKADEMIK,TINGGI
semoga lebih baik kedepannya,LAINNYA,RENDAH
AC nya jangan terlalu dingin sama tolong di buat kan tempat untuk organisasi kampus,FASILITAS,RENDAH
Harapan saya ITB STIKOM BALI dapat meluluskan semua mahasiswanya agar akreditasi kampus lebih meningkat,LAINNYA,RENDAH
Mohon perluas akses parkiran,FASILITAS,TINGGI
Harapan saya ialah semoga kedepannya lebih baik lagi,LAINNYA,RENDAH
Semoga kedepannya fasilitasi dari STIKOM bali lebih lengkap lagi.,FASILITAS,RENDAH
Mungkin lebih di tingkatkan lagi,LAINNYA,RENDAH
gedung renon gedein aja gak sih? tanah disamping kosong tuh,FASILITAS,RENDAH
SEMOGA BISA LEBIH BERKEMBANG KEDEPANNYA,LAINNYA,RENDAH
Peningkatan dalam segi pemberian informasi,LAINNYA,RENDAH
harapan semoga segala jenis fasilitas bisa di gunakan kembali dan tidak banyak rusak,FASILITAS,TINGGI
Selalu terpelihara,LAINNYA,RENDAH
lebih meningkat kan kinerja serta pelajaran nya,LAINNYA,RENDAH
"sering komunikasi antar staff / para pekerja dan juga lebih sering bertanya kepada mahasiswa apakah sudah puas atau ada yang kurang,, harapan saya semoga dari kekurangan tersebut bisa cepat di terapkan tidak hanya di tampung saja",LAINNYA,TINGGI
Harapan yang dapat saya usulkan untuk meningkatkan kinerja STIKOM Bali adalah menambahkan ide teknologi baru dan berkreasi lebih banyak lagi agar lebih banyak pengetahuan atau praktek yang bisa dilakukan oleh mahasiswa sehingga kemungkinan besar bisa menambah prestasi di STIKOM Bali. Untuk kinerja yang lainnya saya merasa sudah sangat bagus sekali. Semoga bisa terus dipertahankan. Terima kasih,AKADEMIK,RENDAH
Perlu ditingkatkan lagi dalam fasilitas kampus karena ada meja yang rusak,FASILITAS,TINGGI
"Sudah bagus,tingkatkan aja lg",LAINNYA,RENDAH
Kemudahan aksesibilitas Website,LAINNYA,RENDAH
Fasilitas dibuat lebih baik lagi,FASILITAS,RENDAH
mungkin kedepannya parkir diperluas,FASILITAS,TINGGI
perbaiki daya respon. walaupun tidak bisa langsung dijawab setidaknya tidak perlu menggu 2 hari untuk meresponnya(note khusus untuk beberapa dosen),AKADEMIK,RENDAH
mengurangi program-program yang sangat merugikan untuk mahasiswa.,LAINNYA,RENDAH
Harapan saya kampus STIKOM bisa selalu menunjukkan hal hal baru dan selalu beda dari yang lain.,LAINNYA,RENDAH
"Harapan untuk meningkatkan kinerja tersebut adalah memperkuat kurikulum yang sesuai dengan perkembangan teknologi terbaru, meningkatkan fasilitas laboratorium dan infrastruktur digital, serta memperluas jaringan kerjasama internasional untuk memberikan kesempatan magang dan pertukaran mahasiswa.",FASILITAS,KRITIS
Semakin banyak lagi dosen yang bisa menyampaikan materi perkuliahan dengan baik dan menyenangkan.,AKADEMIK,RENDAH
Tingkatkan pembelajaran dan menyenangkan,LAINNYA,RENDAH
Semoga kedepanya bisa lebih baii lagi,LAINNYA,RENDAH
Semoga lebih baik lagi kedepannya.,LAINNYA,RENDAH
Tingkatkan kecepatan wifinya,JARINGAN_IT,RENDAH
Semoga kedepannya STIKOM Bali dapat melakukan pengamatan mendalam dan perubahan pada aspek-aspek kinerja yang masih kurang,LAINNYA,SEDANG
lorem ipsum dolor sit amet,LAINNYA,RENDAH
kurangi biaya biaya yang mempersulit mahasiswa yang mungkin kurang salam segi ekonomi,KEUANGAN,SEDANG
saya harap sistem perwalian semakin baik,LAINNYA,RENDAH
